lane,word,q
0,0,0
1,2149622081,1
2,1143026004,0
3,413733889,1
4,0,1
5,3392145986,1
6,3229688549,0
7,35651616,0
8,0,0
9,0,1
10,2349465749,0
11,75923987,1
12,0,1
13,3963716896,1
14,77611136,0
15,0,0
16,1225993865,0
17,0,1
18,3223080961,0
19,9524,1
20,1696891915,1
21,0,1
22,2468357120,0
23,2684366852,0
24,2483437841,0
25,1074270240,1
26,0,0
27,0,1
28,2290116656,1
29,0,1
30,0,0
31,0,0
32,572524596,0
33,2165346338,1
34,2218795074,0
35,1,1
36,0,1
37,0,1
38,371210252,0
39,1074791432,0
40,0,0
41,671418844,1
42,2822904832,0
43,0,1
44,0,1
45,0,1
46,3490711808,0
47,68380736,0
48,131332,0
49,1623823584,1
50,1111490826,0
51,0,1
52,0,1
53,0,1
54,0,0
55,2157318272,0
56,1074803328,0
57,73401346,1
58,234890505,0
59,16921242,1
60,0,1
61,308286722,1
62,0,0
63,1946157376,0
64,118760452,0
65,0,1
66,0,0
67,0,1
68,2185244749,1
69,2462253600,1
70,0,0
71,0,0
72,4169556480,0
73,2228488,1
74,2435352832,0
75,402891334,1
76,1213862987,1
77,721425448,1
78,0,0
79,0,0
80,1,0
81,0,1
82,2229018884,0
83,898031620,1
84,221974530,1
85,0,1
86,0,0
87,0,0
88,362062612,0
89,1,1
90,0,0
91,4587825,1
92,1150312448,1
93,0,1
94,1577107524,0
95,0,0
96,0,0
97,0,1
98,1,0
99,0,1
100,1376390176,1
101,637578768,1
102,583078148,0
103,0,0
104,67109408,0
105,1396822,1
106,2179203585,0
107,1,1
108,1761609733,1
109,2424310784,1
110,2974223232,0
111,0,0
112,306203136,0
113,0,1
114,0,0
115,1409908736,1
116,0,1
117,1610826256,1
118,85397517,0
119,1325470419,0
120,202396172,0
121,0,1
122,2550138120,0
123,0,1
124,3300934280,1
125,0,1
126,839077956,0
127,2685536349,0
128,0,0
129,0,1
130,11615264,0
131,3271560514,1
132,0,1
133,437780504,1
134,0,0
135,2697167971,0
136,1230963850,0
137,0,1
138,3701867960,0
139,220751872,1
140,0,1
141,1610613152,1
142,566268040,0
143,0,0
144,277389704,0
145,0,1
146,2552497201,0
147,92352658,1
148,0,1
149,0,1
150,0,0
151,2154190088,0
152,0,0
