lane,word,q
0,0,0
1,34646273,1
2,0,0
3,0,1
4,0,1
5,0,1
6,12918790,0
7,0,0
8,0,0
9,0,1
10,0,0
11,0,1
12,0,1
13,0,1
14,874514440,0
15,0,0
16,0,0
17,0,1
18,0,0
19,268542256,1
20,0,1
21,1749139474,1
22,2216738328,0
23,0,0
24,276924417,0
25,1493172233,1
26,0,0
27,0,1
28,138874126,1
29,0,1
30,0,0
31,0,0
32,0,0
33,2215116896,1
34,0,0
35,0,1
36,0,1
37,0,1
38,591926040,0
39,0,0
40,0,0
41,574636224,1
42,2156924962,0
43,0,1
44,0,1
45,0,1
46,3503292418,0
47,536938544,0
48,16979208,0
49,0,1
50,0,0
51,0,1
52,0,1
53,0,1
54,0,0
55,2693927052,0
56,1078145092,0
57,1090688288,1
58,304097295,0
59,1343271538,1
60,0,1
61,740664066,1
62,0,0
63,2499809362,0
64,152310785,0
65,0,1
66,2553184416,0
67,0,1
68,2253467653,1
69,1480720992,1
70,0,0
71,0,0
72,547328,0
73,136708096,1
74,268437016,0
75,0,1
76,843072411,1
77,0,1
78,0,0
79,0,0
80,1,0
81,0,1
82,0,0
83,0,1
84,114839825,1
85,0,1
86,0,0
87,0,0
88,83886916,0
89,0,1
90,0,0
91,2592,1
92,0,1
93,0,1
94,304645444,0
95,0,0
96,0,0
97,0,1
98,1,0
99,0,1
100,1350707202,1
101,0,1
102,0,0
103,0,0
104,0,0
105,0,1
106,2155922432,0
107,0,1
108,1695690755,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,0,1
117,1688226192,1
118,51712269,0
119,3424720386,0
120,1141260428,0
121,0,1
122,1359184896,0
123,536939012,1
124,820544064,1
125,0,1
126,0,0
127,3775011346,0
128,0,0
129,0,1
130,3054016,0
131,0,1
132,0,1
133,137891998,1
134,0,0
135,0,0
136,0,0
137,0,1
138,202654465,0
139,2664481,1
140,0,1
141,1110545568,1
142,2160887888,0
143,0,0
144,2424307880,0
145,0,1
146,0,0
147,63260804,1
148,0,1
149,0,1
150,0,0
151,2183322628,0
152,0,0
